query,k,precision_pre,recall_pre,ndcg_pre,precision_post,recall_post,ndcg_post,mrr_pre,mrr_post
"Construction Company: A professional design with a centered logo, a top navigation menu, and a full-width header image of a construction project. An image carousel showscasing completed projects is placed above a grid layout for displaying client testimonials and team member profiles. A footer includes contact information, social media icons, and a Newsletter sign-up form.",3,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
"Construction Company: A professional design with a centered logo, a top navigation menu, and a full-width header image of a construction project. An image carousel showscasing completed projects is placed above a grid layout for displaying client testimonials and team member profiles. A footer includes contact information, social media icons, and a Newsletter sign-up form.",5,0.2,1.0,1.0,0.2,1.0,1.0,1.0,1.0
"Consulting Firm: A clean, professional design with a full-width image and a tagline, a left column for the main navigation menu, and a right column for featuring key staff members and their service offerings. A muted color palette evokes trust and expertise.",3,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0
"Consulting Firm: A clean, professional design with a full-width image and a tagline, a left column for the main navigation menu, and a right column for featuring key staff members and their service offerings. A muted color palette evokes trust and expertise.",5,0.2,1.0,0.5,0.2,1.0,1.0,0.3333333333333333,1.0
"Education Platform: A design with a wide, hero image, a centered logo, and a top navigation menu featuring links for courses, pricing, and about the company. The site includes a feature section where students can share testimonials and success stories. A warm, approachable color palette is used to inspire confidence and engagement.",3,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.25,1.0
"Education Platform: A design with a wide, hero image, a centered logo, and a top navigation menu featuring links for courses, pricing, and about the company. The site includes a feature section where students can share testimonials and success stories. A warm, approachable color palette is used to inspire confidence and engagement.",5,0.2,1.0,0.43067655807339306,0.2,1.0,1.0,0.25,1.0
"Fashion Brand: A visually stunning layout with a full-width, rotating image carousel showcasing their latest collections, a bold, center-aligned logo, and a bottom navigation menu. The color palette is inspired by the latest fashion trends.",3,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
"Fashion Brand: A visually stunning layout with a full-width, rotating image carousel showcasing their latest collections, a bold, center-aligned logo, and a bottom navigation menu. The color palette is inspired by the latest fashion trends.",5,0.2,1.0,1.0,0.2,1.0,1.0,1.0,1.0
"Gaming Company: A modern, vibrant design with a bold, center-aligned logo and a top navigation menu for games, news, and community. The site features a scrolling banner for displaying game trailers, and a footer for social media links and contact information.",3,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
"Gaming Company: A modern, vibrant design with a bold, center-aligned logo and a top navigation menu for games, news, and community. The site features a scrolling banner for displaying game trailers, and a footer for social media links and contact information.",5,0.2,1.0,1.0,0.2,1.0,1.0,1.0,1.0
"Non-profit Organization: A design with a header image, a centered logo, and a top navigation menu for About, Get Involved, and Stories. A two-column layout showcases recent projects and fundraising events, and a footer includes links for donating, volunteering, and social media.",3,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0
"Non-profit Organization: A design with a header image, a centered logo, and a top navigation menu for About, Get Involved, and Stories. A two-column layout showcases recent projects and fundraising events, and a footer includes links for donating, volunteering, and social media.",5,0.2,1.0,0.5,0.2,1.0,1.0,0.3333333333333333,1.0
"Real Estate Agency: A user-friendly design with a header featuring a property image and search functionality, a top navigation menu with links to the various property listings. The page includes a grid layout for listing images, and a footer with contact information and social media icons.",3,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
"Real Estate Agency: A user-friendly design with a header featuring a property image and search functionality, a top navigation menu with links to the various property listings. The page includes a grid layout for listing images, and a footer with contact information and social media icons.",5,0.2,1.0,1.0,0.2,1.0,1.0,1.0,1.0
"Restaurant Chain: A design with a mouth-watering header image of a popular dish, a top navigation menu with pages for location, menu, and order online. The footer displays social media icons, a newsletter sign-up form, and contact information.",3,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
"Restaurant Chain: A design with a mouth-watering header image of a popular dish, a top navigation menu with pages for location, menu, and order online. The footer displays social media icons, a newsletter sign-up form, and contact information.",5,0.2,1.0,1.0,0.2,1.0,1.0,1.0,1.0
"Technology Company: A minimalistic design with a large, central hero image and a navigational menu hidden behind a hamburger icon. The color scheme consists of shades of gray and blue. A dynamic animation effects add an interactive touch.",3,0.3333333333333333,1.0,0.6309297535714575,0.3333333333333333,1.0,1.0,0.5,1.0
"Technology Company: A minimalistic design with a large, central hero image and a navigational menu hidden behind a hamburger icon. The color scheme consists of shades of gray and blue. A dynamic animation effects add an interactive touch.",5,0.2,1.0,0.6309297535714575,0.2,1.0,1.0,0.5,1.0
"Travel Agency: A visually immersive design with high-resolution images, a center-aligned logo, and a top navigation menu with links for vacation packages, destinations, and customer reviews. The design includes scrolling sections for showcasing destinations and highlighting the latest discount offers.",3,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0
"Travel Agency: A visually immersive design with high-resolution images, a center-aligned logo, and a top navigation menu with links for vacation packages, destinations, and customer reviews. The design includes scrolling sections for showcasing destinations and highlighting the latest discount offers.",5,0.2,1.0,1.0,0.2,1.0,1.0,1.0,1.0
